索引,町丁名,資源,燃やすごみ,燃やさないごみ
あ,秋葉原,水曜,月曜・木曜,その月の1回目・3回目の土曜日
あ,浅草1丁目・浅草2丁目,木曜,火曜・金曜,その月の1回目・3回目の月曜日
あ,浅草3丁目・浅草4丁目・浅草5丁目・浅草6丁目・浅草7丁目,月曜,火曜・金曜,その月の1回目・3回目の木曜日
あ,浅草橋1丁目・浅草橋2丁目・浅草橋3丁目・浅草橋4丁目・浅草橋5丁目,土曜,月曜・木曜,その月の1回目・3回目の水曜日
い,池之端1丁目・池之端2丁目・池之端3丁目・池之端4丁目,水曜,月曜・木曜,その月の2回目・4回目の土曜日
い,今戸1丁目・今戸2丁目,火曜,水曜・土曜,その月の1回目・3回目の金曜日
い,入谷1丁目・入谷2丁目,金曜,水曜・土曜,その月の1回目・3回目の火曜日
う,上野1丁目・上野2丁目・上野3丁目・上野4丁目・上野5丁目・上野6丁目・上野7丁目,水曜,月曜・木曜,その月の1回目・3回目の土曜日
う,上野公園,水曜,月曜・木曜,その月の2回目・4回目の土曜日
う,上野桜木1丁目・上野桜木2丁目,水曜,月曜・木曜,その月の1回目・3回目の土曜日
か,雷門1丁目・雷門2丁目,木曜,火曜・金曜,その月の1回目・3回目の月曜日
き,北上野1丁目・北上野2丁目,月曜,火曜・金曜,その月の2回目・4回目の木曜日
き,清川1丁目・清川2丁目,火曜,水曜・土曜,その月の1回目・3回目の金曜日
く,蔵前1丁目・蔵前2丁目・蔵前3丁目・蔵前4丁目,木曜,火曜・金曜,その月の2回目・4回目の月曜日
こ,小島1丁目・小島2丁目,土曜,月曜・木曜,その月の1回目・3回目の水曜日
こ,寿1丁目・寿2丁目,木曜,火曜・金曜,その月の2回目・4回目の月曜日
こ,寿3丁目・寿4丁目,木曜,火曜・金曜,その月の1回目・3回目の月曜日
こ,駒形1丁目・駒形2丁目,木曜,火曜・金曜,その月の1回目・3回目の月曜日
し,下谷1丁目,金曜,水曜・土曜,その月の2回目・4回目の火曜日
し,下谷2丁目・下谷3丁目,金曜,水曜・土曜,その月の1回目・3回目の火曜日
せ,千束1丁目・千束2丁目・千束3丁目・千束4丁目,火曜,水曜・土曜,その月の2回目・4回目の金曜日
た,台東1丁目・台東2丁目・台東3丁目・台東4丁目,土曜,月曜・木曜,その月の2回目・4回目の水曜日
と,鳥越1丁目・鳥越2丁目,土曜,月曜・木曜,その月の1回目・3回目の水曜日
に,西浅草1丁目・西浅草2丁目,月曜,火曜・金曜,その月の2回目・4回目の木曜日
に,西浅草3丁目,月曜,火曜・金曜,その月の1回目・3回目の木曜日
に,日本堤1丁目・日本堤2丁目,火曜,水曜・土曜,その月の2回目・4回目の金曜日
ね,根岸1丁目、根岸2丁目・根岸3丁目・根岸4丁目・根岸5丁目,金曜,水曜・土曜,その月の2回目・4回目の火曜日
は,橋場1丁目・橋場2丁目,火曜,水曜・土曜,その月の1回目・3回目の金曜日
は,花川戸1丁目・花川戸2丁目,木曜,火曜・金曜,その月の1回目・3回目の月曜日
ひ,東浅草1丁目・東浅草2丁目,火曜,水曜・土曜,その月の1回目・3回目の金曜日
ひ,東上野1丁目・東上野2丁目・東上野3丁目,土曜,月曜・木曜,その月の2回目・4回目の水曜日
ひ,東上野4丁目・東上野5丁目・東上野6丁目,水曜,月曜・木曜,その月の1回目・3回目の土曜日
ま,松が谷1丁目・松が谷2丁目・松が谷3丁目・松が谷4丁目,月曜,火曜・金曜,その月の2回目・4回目の木曜日
み,三筋1丁目・三筋2丁目,木曜,火曜・金曜,その月の2回目・4回目の月曜日
み,三ノ輪1丁目・三ノ輪2丁目,金曜,水曜・土曜,その月の1回目・3回目の火曜日
も,元浅草1丁目・元浅草2丁目・元浅草3丁目・元浅草4丁目,木曜,火曜・金曜,その月の2回目・4回目の月曜日
や,谷中1丁目・谷中2丁目・谷中3丁目・谷中4丁目・谷中5丁目・谷中6丁目・谷中7丁目,水曜,月曜・木曜,その月の2回目・4回目の土曜日
や,柳橋1丁目・柳橋2丁目,土曜,月曜・木曜,その月の1回目・3回目の水曜日
り,竜泉1丁目・竜泉2丁目・竜泉3丁目,金曜,水曜・土曜,その月の1回目・3回目の火曜日
